model,horizon,n,mae,rmse,dir_acc,pinball_avg,coverage_80,interval_width
ar1_t,1,96,0.5713311087203639,0.7959638117933543,0.5729166666666666,0.14824491469668402,0.8645833333333334,2.037966253879545
ar1_t,5,96,0.8660436743891967,1.1864862413778718,0.6041666666666666,0.23758319416073573,0.9375,4.10526353005926
ar1_t,20,96,1.5220569106800654,2.066834950305186,0.5625,0.46782418168947465,0.9375,8.544374921190332
futures_1m,20,70,1.828142857142857,2.4955483222272874,,1.0531686105516431,1.0,21.06337221103287
naive,1,96,0.5790624999999999,0.9204861713609099,0.0,0.263696350300639,0.9270833333333334,4.750981001402054
naive,5,96,0.9085416666666667,1.2716532873913915,0.0,0.5469382225280652,0.9791666666666666,10.623516478945016
naive,20,96,1.5351041666666665,2.0878599988983937,0.0,1.0623516478945014,1.0,21.24703295789003
ou_t,1,96,0.6432298140209696,0.8934945212465646,0.46875,0.25386291115920956,0.9479166666666666,4.74636702283169
ou_t,5,96,1.177061830891897,1.5060094928417171,0.5625,0.3922566225003567,0.9791666666666666,7.620228835388666
ou_t,20,96,1.753185312965007,2.249733506283904,0.6458333333333334,0.464723195725088,0.9479166666666666,8.816128133040673
