observation_datetime,value
2026-01-14 12:00,63.56
2026-01-14 17:00,63.56
2026-01-15 06:00,62.30
2026-01-15 11:00,62.30
2026-01-20 15:00,62.26
2026-01-20 20:00,62.26
2026-01-22 03:00,62.94
2026-01-22 08:00,62.94
2026-01-27 13:00,64.05
2026-01-27 18:00,64.05
2026-01-28 15:00,64.66
2026-01-28 20:00,64.66
2026-02-05 11:00,64.25
2026-02-05 16:00,64.25
2026-02-26 03:00,67.30
2026-02-26 08:00,67.30
2026-03-02 04:00,70.16
2026-03-02 09:00,70.16
2026-03-03 05:00,71.76
2026-03-03 10:00,71.76
2026-03-06 13:00,73.31
2026-03-06 18:00,73.31
2026-03-08 20:00,78.00
2026-03-09 00:00,78.00
2026-03-09 11:00,74.70
2026-03-09 15:00,74.70
2026-03-10 02:00,73.41
2026-03-10 06:00,73.41
2026-03-10 09:00,74.15
2026-03-10 10:00,73.12
2026-03-10 13:00,74.15
2026-03-10 14:00,73.12
2026-03-11 02:00,74.18
2026-03-11 06:00,74.18
2026-03-11 09:00,74.27
2026-03-11 10:00,74.77
2026-03-11 13:00,74.27
2026-03-11 14:00,74.77
2026-03-12 10:00,78.13
2026-03-12 14:00,78.13
2026-03-13 07:00,79.85
2026-03-13 08:00,79.44
2026-03-13 09:00,80.48
2026-03-13 11:00,79.85
2026-03-13 12:00,79.44
2026-03-13 13:00,80.48
2026-03-16 08:00,79.26
2026-03-16 09:00,79.36
2026-03-16 12:00,79.26
2026-03-16 13:00,79.36
2026-03-17 08:00,81.51
2026-03-17 09:00,80.73
2026-03-17 10:00,81.05
2026-03-17 12:00,81.51
2026-03-17 13:00,80.73
2026-03-17 14:00,81.05
2026-03-18 10:00,83.46
2026-03-18 14:00,83.46
2026-03-19 01:00,84.90
2026-03-19 02:00,84.92
2026-03-19 05:00,84.90
2026-03-19 06:00,84.92
2026-03-19 07:00,84.54
2026-03-19 09:00,83.50
2026-03-19 11:00,84.54
2026-03-19 13:00,83.50
2026-03-20 16:00,84.62
2026-03-20 20:00,84.62
2026-03-22 18:00,85.10
2026-03-22 20:00,85.52
2026-03-22 22:00,85.10
2026-03-23 00:00,85.52
2026-03-23 08:00,82.80
2026-03-23 10:00,80.25
2026-03-23 12:00,80.00
2026-03-23 14:00,80.25
2026-03-23 16:00,80.00
2026-03-25 11:00,80.50
2026-03-25 15:00,80.50
2026-03-26 10:00,82.49
2026-03-26 12:00,83.14
2026-03-26 14:00,82.49
2026-03-26 16:00,83.14
2026-03-29 18:00,83.80
2026-03-29 22:00,83.80
2026-03-30 20:00,83.01
2026-03-31 00:00,83.01
2026-04-01 01:00,78.70
2026-04-01 03:00,77.50
2026-04-01 05:00,78.70
2026-04-01 07:00,77.50
2026-04-01 08:00,77.44
2026-04-01 10:00,76.74
2026-04-01 12:00,77.44
2026-04-01 13:00,76.75
2026-04-01 14:00,76.74
2026-04-01 17:00,76.75
2026-04-02 09:00,78.81
2026-04-02 10:00,78.30
2026-04-02 11:00,76.70
2026-04-02 13:00,76.92
2026-04-02 14:00,78.30
2026-04-02 15:00,76.70
2026-04-02 17:00,76.92
2026-04-05 22:00,77.60
2026-04-06 02:00,77.60
2026-04-06 21:00,79.68
2026-04-07 01:00,80.37
2026-04-07 05:00,80.37
2026-04-07 15:00,79.25
2026-04-07 18:00,78.00
2026-04-07 19:00,79.25
2026-04-07 22:00,78.00
2026-04-09 03:00,78.98
2026-04-09 07:00,78.98
2026-04-14 06:00,82.25
2026-04-14 10:00,82.25
2026-04-14 15:00,80.16
2026-04-14 19:00,80.16
2026-04-15 12:00,81.42
2026-04-15 16:00,81.42
2026-04-16 03:00,81.35
2026-04-16 07:00,81.08
2026-04-16 11:00,81.08
2026-04-16 13:00,81.63
2026-04-16 17:00,81.63
2026-04-20 14:00,79.91
2026-04-20 18:00,79.91
2026-04-21 13:00,80.61
2026-04-21 16:00,80.82
2026-04-21 17:00,80.61
2026-04-21 20:00,80.82
2026-04-22 11:00,81.50
2026-04-22 13:00,82.02
2026-04-22 15:00,81.50
2026-04-22 17:00,82.02
2026-04-23 12:00,82.51
2026-04-23 15:00,83.63
