observation_datetime,value
2025-11-06 03:00,63.37
2025-11-06 14:00,63.17
2025-11-12 01:00,64.07
2025-11-26 09:00,61.57
2025-11-26 12:00,61.49
2026-01-30 14:00,65.99
2026-02-03 19:00,63.71
2026-02-11 08:00,66.42
2026-02-12 17:00,64.66
2026-02-17 18:00,64.00
2026-02-19 17:00,66.77
2026-02-20 19:00,66.60
2026-02-23 14:00,67.26
2026-02-24 05:00,67.13
2026-03-04 07:00,69.50
2026-03-04 14:00,69.50
2026-03-04 18:00,69.40
2026-03-06 18:00,72.56
2026-03-12 04:00,76.92
2026-03-12 06:00,75.86
2026-03-12 07:00,75.79
2026-03-20 12:00,82.33
2026-03-20 14:00,82.71
2026-03-31 01:00,80.44
2026-03-31 18:00,78.18
2026-04-02 02:00,78.29
2026-04-02 13:00,77.66
2026-04-02 18:00,76.00
2026-04-02 19:00,76.00
2026-04-06 06:00,76.60
2026-04-08 04:00,75.07
2026-04-17 05:00,80.00
2026-04-17 11:00,79.75
2026-04-17 12:00,78.22
2026-04-17 13:00,76.50
