observation_datetime,value
2025-12-02 02:00,62.54
2025-12-02 07:00,62.54
2025-12-03 20:00,62.10
2025-12-04 01:00,62.10
2026-01-14 08:00,63.55
2026-01-14 13:00,63.55
2026-03-03 08:00,69.19
2026-03-03 13:00,69.19
2026-03-09 01:00,75.65
2026-03-09 05:00,75.65
2026-03-11 10:00,72.86
2026-03-11 14:00,72.86
2026-03-12 10:00,75.21
2026-03-12 14:00,75.21
2026-03-13 13:00,76.47
2026-03-13 17:00,76.47
2026-03-17 09:00,77.79
2026-03-17 13:00,77.79
2026-03-19 08:00,80.50
2026-03-19 12:00,80.50
2026-03-23 03:00,84.40
2026-03-23 06:00,84.65
2026-03-23 07:00,84.40
2026-03-23 09:00,78.91
2026-03-23 10:00,78.39
2026-03-23 13:00,78.91
2026-03-23 14:00,78.39
2026-03-23 16:00,77.89
2026-03-23 20:00,77.89
2026-03-24 16:00,77.89
2026-03-24 20:00,77.89
2026-03-25 02:00,78.14
2026-03-25 04:00,78.02
2026-03-25 06:00,78.14
2026-03-25 08:00,78.02
2026-03-26 03:00,80.15
2026-03-26 07:00,80.15
2026-03-27 08:00,80.73
2026-03-27 12:00,80.73
2026-03-29 21:00,81.22
2026-03-30 01:00,81.22
2026-03-30 21:00,78.86
2026-03-31 01:00,78.86
2026-03-31 12:00,77.35
2026-03-31 16:00,77.35
2026-04-02 01:00,77.06
2026-04-02 05:00,77.06
2026-04-22 10:00,78.52
2026-04-22 14:00,78.52
2026-04-23 08:00,78.97
2026-04-23 12:00,78.97
2026-04-24 06:00,81.04
2026-04-24 10:00,81.04
2026-05-01 09:00,81.53
2026-05-01 13:00,81.53
2026-05-04 14:00,84.30
2026-05-04 18:00,84.30
2026-05-07 03:00,78.94
2026-05-07 07:00,78.94
2026-05-12 09:00,84.97
2026-05-12 10:00,84.99
2026-05-12 13:00,84.97
2026-05-12 14:00,84.99
2026-05-13 03:00,84.82
2026-05-13 07:00,84.82
2026-06-29 01:00,71.30
2026-06-29 03:00,71.20
2026-06-30 03:00,71.64
