observation_datetime,value
2025-10-23 11:00,63.84
2025-10-23 15:00,63.84
2025-11-07 11:00,63.26
2025-11-07 16:00,63.26
2025-12-10 09:00,60.99
2025-12-10 14:00,60.99
2025-12-16 09:00,59.52
2025-12-16 11:00,59.10
2025-12-16 14:00,59.52
2025-12-16 16:00,59.10
2025-12-18 14:00,59.40
2025-12-18 19:00,59.40
2025-12-23 11:00,60.78
2025-12-23 16:00,61.20
2025-12-23 21:00,61.20
2025-12-24 10:30,61.25
2025-12-24 15:30,61.25
2026-01-02 11:00,59.60
2026-01-02 16:00,59.60
2026-01-06 12:00,60.24
2026-01-06 17:00,60.24
2026-01-07 11:00,59.54
2026-01-07 12:00,59.48
2026-01-07 16:00,59.54
2026-01-07 17:00,59.48
2026-01-12 09:00,61.57
2026-01-12 14:00,62.00
2026-01-12 19:00,62.00
2026-01-14 15:00,62.54
2026-01-14 20:00,62.54
2026-01-15 11:00,61.80
2026-01-15 12:00,61.74
2026-01-15 16:00,61.80
2026-01-15 17:00,61.74
2026-01-26 05:00,63.73
2026-01-26 10:00,63.73
2026-01-28 06:00,64.31
2026-01-28 11:00,64.31
2026-01-29 10:00,66.01
2026-01-29 15:00,66.01
2026-01-30 07:00,66.20
2026-01-30 08:00,66.20
2026-01-30 09:00,66.42
2026-01-30 12:00,66.20
2026-01-30 13:00,65.68
2026-01-30 14:00,66.42
2026-01-30 18:00,65.68
2026-02-12 12:00,64.82
2026-02-12 13:00,64.77
2026-02-12 17:00,64.82
2026-02-12 18:00,64.77
2026-02-13 08:00,65.01
2026-02-13 13:00,65.01
2026-02-23 09:00,68.34
2026-02-23 14:00,68.34
2026-03-01 18:00,73.88
2026-03-01 23:00,73.88
2026-03-05 11:00,72.19
2026-03-05 16:00,72.19
2026-03-06 14:00,74.45
2026-03-06 15:00,75.11
2026-03-06 19:00,74.45
2026-03-06 20:00,75.11
2026-03-08 23:00,83.48
2026-03-09 03:00,83.48
2026-03-09 20:00,76.55
2026-03-10 00:00,76.55
2026-03-11 12:00,76.95
2026-03-11 16:00,76.95
2026-03-12 10:00,81.13
2026-03-12 14:00,81.13
2026-03-13 07:00,83.64
2026-03-13 11:00,83.64
2026-03-16 08:00,82.30
2026-03-16 12:00,82.30
2026-03-17 10:00,83.60
2026-03-17 14:00,83.60
2026-03-18 10:00,86.54
2026-03-18 13:00,86.58
2026-03-18 14:00,86.38
2026-03-18 17:00,86.58
2026-03-18 18:00,86.38
2026-03-20 11:00,86.98
2026-03-20 12:00,86.73
2026-03-20 13:00,87.22
2026-03-20 14:00,86.82
2026-03-20 15:00,86.98
2026-03-20 16:00,87.29
2026-03-20 17:00,87.22
2026-03-20 18:00,86.82
2026-03-20 20:00,87.29
2026-03-22 18:00,88.00
2026-03-22 21:00,88.64
2026-03-22 22:00,88.00
2026-03-23 01:00,88.64
2026-03-23 05:00,90.66
2026-03-23 07:00,86.00
2026-03-23 09:00,90.66
2026-03-23 11:00,86.00
2026-03-23 14:00,81.72
2026-03-23 18:00,81.72
2026-03-24 01:00,84.43
2026-03-24 05:00,84.18
2026-03-24 07:00,84.38
2026-03-24 08:00,84.65
2026-03-24 09:00,84.18
2026-03-24 11:00,83.54
2026-03-24 12:00,84.65
2026-03-24 15:00,84.04
2026-03-24 16:00,83.88
2026-03-24 19:00,84.04
2026-03-24 20:00,83.88
2026-03-25 07:00,81.64
2026-03-25 11:00,81.64
2026-03-26 10:00,85.48
2026-03-26 11:00,85.56
2026-03-26 14:00,85.48
2026-03-26 15:00,85.56
2026-03-26 21:00,85.42
2026-03-26 22:00,84.24
2026-03-27 01:00,85.42
2026-03-27 02:00,84.24
2026-03-27 09:00,85.98
2026-03-27 10:00,85.78
2026-03-27 13:00,85.98
2026-03-27 14:00,85.78
2026-03-29 18:00,86.90
2026-03-29 22:00,86.90
2026-03-30 08:00,86.29
2026-03-30 12:00,86.29
2026-03-30 14:00,85.78
2026-03-30 15:00,85.78
2026-03-30 16:00,86.14
2026-03-30 18:00,85.78
2026-03-30 19:00,85.78
2026-03-30 20:00,86.30
2026-03-30 21:00,84.07
2026-03-31 00:00,86.30
2026-03-31 01:00,84.07
2026-03-31 04:00,84.88
2026-03-31 05:00,85.82
2026-03-31 08:00,84.88
2026-03-31 09:00,85.82
2026-03-31 10:00,84.70
2026-03-31 12:00,81.83
2026-03-31 14:00,81.52
2026-03-31 15:00,81.45
2026-03-31 16:00,80.67
2026-03-31 18:00,81.50
2026-03-31 19:00,81.45
2026-03-31 20:00,80.67
2026-03-31 22:00,81.50
2026-04-01 03:00,79.72
2026-04-01 07:00,79.72
2026-04-01 10:00,78.75
2026-04-01 14:00,79.36
2026-04-01 16:00,79.28
2026-04-01 18:00,79.36
2026-04-01 20:00,79.28
2026-04-02 08:00,81.11
2026-04-02 09:00,81.00
2026-04-02 10:00,79.24
2026-04-02 12:00,81.11
2026-04-02 13:00,81.00
2026-04-02 14:00,79.24
2026-04-06 12:00,81.18
2026-04-06 13:00,81.49
2026-04-06 16:00,81.18
2026-04-06 17:00,81.49
2026-04-06 23:00,82.68
2026-04-07 03:00,82.68
2026-04-07 20:00,77.00
2026-04-08 00:00,77.00
2026-04-09 03:00,81.21
2026-04-09 07:00,81.21
2026-04-09 11:00,81.80
2026-04-09 15:00,81.80
2026-04-09 23:00,80.80
2026-04-10 02:00,82.00
2026-04-10 03:00,80.80
2026-04-10 06:00,82.00
2026-04-14 15:00,82.58
2026-04-14 19:00,82.58
2026-04-15 05:00,83.58
2026-04-15 09:00,83.58
2026-04-16 11:00,83.59
2026-04-16 15:00,83.59
2026-04-17 06:00,82.50
2026-04-17 10:00,77.54
2026-04-17 14:00,77.54
2026-04-17 16:00,79.41
2026-04-17 20:00,79.41
2026-04-19 19:00,82.10
2026-04-19 23:00,82.10
2026-04-20 10:00,82.09
2026-04-20 14:00,82.08
2026-04-20 18:00,82.08
2026-04-21 08:00,82.18
2026-04-21 11:00,83.29
2026-04-21 12:00,82.18
2026-04-21 15:00,83.29
2026-04-22 08:00,83.74
2026-04-22 11:00,84.32
2026-04-22 12:00,83.74
2026-04-22 15:00,84.32
2026-04-23 07:00,85.29
2026-04-23 08:00,84.80
2026-04-23 09:00,85.51
2026-04-23 10:00,85.73
2026-04-23 11:00,85.29
2026-04-23 12:00,84.80
2026-04-23 13:00,86.28
2026-04-23 14:00,85.73
2026-04-23 17:00,86.28
2026-04-24 08:00,86.86
2026-04-24 10:00,86.49
2026-04-24 11:00,86.84
2026-04-24 12:00,86.86
2026-04-24 13:00,86.46
2026-04-24 14:00,86.49
2026-04-24 15:00,86.84
2026-04-24 17:00,86.46
2026-04-26 19:00,87.93
2026-04-26 23:00,87.93
2026-04-27 02:00,87.83
2026-04-27 06:00,87.51
2026-04-27 10:00,87.51
2026-04-28 01:00,88.95
2026-04-28 02:00,89.07
2026-04-28 04:00,89.83
2026-04-28 05:00,88.95
2026-04-28 06:00,89.07
2026-04-28 07:00,90.00
