observation_datetime,value
2025-03-03 13:00,62.80
2025-03-03 18:00,62.80
2025-03-18 10:00,62.86
2025-03-18 14:00,62.86
2025-03-19 11:00,62.65
2025-03-19 15:00,62.65
2025-05-21 08:00,62.35
2025-05-21 12:00,62.35
2025-06-16 16:00,63.50
2025-06-16 20:00,63.50
2025-08-27 12:00,62.32
2025-08-27 16:00,62.32
2025-11-25 09:00,58.63
2025-11-25 14:00,58.63
2025-12-10 10:00,58.60
2025-12-10 15:00,58.60
2025-12-14 19:00,58.61
2025-12-15 00:00,58.61
2025-12-22 10:00,58.40
2025-12-22 15:00,58.40
2025-12-23 12:00,58.40
2025-12-23 15:00,58.75
2025-12-23 17:00,58.40
2025-12-23 20:00,58.75
2025-12-29 06:00,59.09
2025-12-29 11:00,59.09
2026-01-25 18:00,60.66
2026-01-25 23:00,60.66
2026-02-11 12:00,61.43
2026-02-11 17:00,61.43
2026-02-19 11:00,61.45
2026-02-19 16:00,61.45
2026-02-20 15:00,61.39
2026-02-20 20:00,61.39
2026-02-23 14:00,61.51
2026-02-23 19:00,61.51
2026-02-24 14:00,61.66
2026-02-24 19:00,61.66
2026-02-26 05:00,60.90
2026-02-26 07:00,60.61
2026-02-26 10:00,60.90
2026-02-26 12:00,60.61
2026-02-27 12:00,61.27
2026-02-27 17:00,61.27
2026-03-05 14:00,64.00
2026-03-05 19:00,64.00
2026-03-09 02:00,66.92
2026-03-09 05:00,67.68
2026-03-09 06:00,66.92
2026-03-09 09:00,67.68
2026-03-09 10:00,66.01
2026-03-09 14:00,66.01
2026-03-18 14:00,70.35
2026-03-18 18:00,70.35
2026-03-20 16:00,72.31
2026-03-20 20:00,72.31
2026-03-25 04:00,69.50
2026-03-25 08:00,69.50
2026-04-01 15:00,67.17
2026-04-01 19:00,67.17
2026-04-02 09:00,68.20
2026-04-02 10:00,66.65
2026-04-02 13:00,68.20
2026-04-02 14:00,66.65
2026-04-02 15:00,67.31
2026-04-02 16:00,67.22
2026-04-02 19:00,67.31
2026-04-02 20:00,67.22
2026-04-07 10:00,69.47
2026-04-07 14:00,69.47
2026-04-07 15:00,69.28
2026-04-07 19:00,69.28
2026-04-08 09:00,67.75
2026-04-08 10:00,68.20
2026-04-08 13:00,67.75
2026-04-08 14:00,68.20
2026-04-09 11:00,69.66
2026-04-09 14:00,69.16
2026-04-09 15:00,69.66
2026-04-09 18:00,69.16
2026-04-10 11:00,69.86
2026-04-10 13:00,70.21
2026-04-10 15:00,69.86
2026-04-10 17:00,70.21
2026-04-14 10:00,70.10
2026-04-14 14:00,70.10
2026-04-14 15:00,69.71
2026-04-14 19:00,69.71
2026-04-16 11:00,71.43
2026-04-16 13:00,71.56
2026-04-16 15:00,71.43
2026-04-16 17:00,71.56
2026-04-17 10:00,68.57
2026-04-17 14:00,69.03
2026-04-17 18:00,69.03
2026-04-21 11:00,70.43
2026-04-21 14:00,69.72
2026-04-21 15:00,70.43
2026-04-21 18:00,69.72
2026-04-22 16:00,70.43
2026-04-22 20:00,70.43
2026-04-23 10:00,70.67
2026-04-23 13:00,70.32
2026-04-23 14:00,70.67
2026-04-23 17:00,70.32
2026-04-24 11:00,70.50
2026-04-24 15:00,70.50
2026-04-27 10:00,70.84
2026-04-27 14:00,70.84
2026-04-28 09:00,70.85
2026-04-28 13:00,70.85
2026-04-30 11:00,70.39
2026-04-30 15:00,70.39
2026-05-01 12:00,71.31
2026-05-01 15:00,71.22
2026-05-01 16:00,71.31
2026-05-01 19:00,71.22
2026-05-04 06:00,72.88
2026-05-04 10:00,72.88
2026-05-04 12:00,73.37
2026-05-04 15:00,73.60
2026-05-04 16:00,73.37
2026-05-04 19:00,73.60
2026-05-05 12:00,73.15
2026-05-05 16:00,73.15
2026-05-06 04:00,70.45
2026-05-06 05:00,69.70
2026-05-06 06:00,68.95
2026-05-06 08:00,70.45
2026-05-06 09:00,69.70
2026-05-06 10:00,68.95
2026-05-06 11:00,71.13
2026-05-06 15:00,70.56
2026-05-06 19:00,70.56
2026-05-07 03:00,69.50
2026-05-07 07:00,69.50
2026-05-07 08:00,69.30
2026-05-07 12:00,69.30
2026-05-07 13:00,69.96
2026-05-07 15:00,70.97
2026-05-07 16:00,71.21
2026-05-07 17:00,69.96
2026-05-07 19:00,70.97
2026-05-07 20:00,71.21
2026-05-07 23:00,71.31
2026-05-08 00:00,72.13
2026-05-08 03:00,71.31
2026-05-08 04:00,72.13
2026-05-10 19:00,73.50
2026-05-10 21:00,73.20
2026-05-10 23:00,73.50
2026-05-11 01:00,73.20
2026-05-13 11:00,73.45
2026-05-13 15:00,73.45
2026-05-14 08:00,72.05
2026-05-14 12:00,72.05
2026-05-15 10:00,73.66
2026-05-15 13:00,73.71
2026-05-15 14:00,73.66
2026-05-15 17:00,73.71
2026-05-19 14:00,73.11
2026-05-19 18:00,73.11
2026-05-20 10:00,73.03
2026-05-20 13:00,71.91
2026-05-20 14:00,73.03
2026-05-20 17:00,71.91
2026-05-21 14:00,72.70
2026-05-21 18:00,72.70
2026-05-22 09:00,72.72
2026-05-22 13:00,72.18
2026-05-22 17:00,71.32
2026-05-26 09:00,72.60
2026-05-26 12:00,72.01
2026-05-26 13:00,72.07
