observation_datetime,value
2025-10-10 11:00,60.09
2025-10-10 15:00,60.09
2025-10-21 09:00,59.55
2025-10-21 13:00,59.55
2025-10-21 16:00,59.95
2025-10-21 20:00,59.95
2025-12-18 16:00,57.51
2025-12-18 21:00,57.51
2026-01-06 18:00,57.50
2026-01-06 23:00,57.50
2026-01-13 06:00,59.40
2026-01-13 09:00,59.60
2026-01-13 11:00,59.40
2026-01-13 12:00,59.60
2026-01-13 14:00,59.60
2026-01-13 17:00,59.60
2026-02-20 15:00,61.35
2026-02-20 20:00,61.35
2026-03-18 14:00,70.28
2026-03-18 18:00,70.28
2026-04-02 15:00,67.00
2026-04-02 19:00,67.00
2026-04-08 11:00,68.20
2026-04-08 15:00,68.20
2026-04-10 16:00,69.29
2026-04-10 20:00,69.29
2026-04-14 03:00,70.83
2026-04-14 07:00,70.83
2026-04-16 03:00,71.29
2026-04-16 07:00,71.29
2026-04-17 08:00,68.56
2026-04-17 09:00,68.01
2026-04-17 10:00,68.65
2026-04-17 12:00,68.56
2026-04-17 13:00,68.01
2026-04-17 14:00,68.65
2026-04-22 11:00,69.80
2026-04-22 15:00,69.80
2026-04-23 11:00,70.14
2026-04-23 15:00,70.14
2026-04-24 11:00,70.17
2026-04-24 15:00,70.17
2026-04-28 14:00,69.69
2026-04-28 18:00,69.69
2026-05-01 09:00,70.53
2026-05-01 13:00,70.53
2026-05-05 15:00,72.76
2026-05-05 19:00,72.76
2026-05-07 15:00,70.53
2026-05-07 19:00,70.53
2026-05-11 12:00,73.23
2026-05-11 16:00,73.23
2026-05-13 13:00,72.82
2026-05-13 17:00,72.82
2026-05-15 15:00,73.36
2026-05-15 19:00,73.36
2026-05-19 09:00,74.06
2026-05-19 13:00,74.06
2026-05-20 10:00,72.68
2026-05-20 13:00,71.60
2026-05-20 14:00,72.68
2026-05-20 17:00,71.60
2026-05-21 10:00,73.56
2026-05-21 14:00,73.56
2026-05-22 09:00,71.86
2026-05-22 13:00,72.24
2026-05-26 16:00,71.30
2026-05-28 10:00,71.79
