observation_datetime,value
2026-03-16 08:00,66.50
2026-03-16 12:00,66.50
2026-03-18 14:00,69.37
2026-03-18 18:00,69.37
2026-04-08 13:00,68.00
2026-04-08 17:00,68.00
2026-04-12 18:00,70.00
2026-04-12 22:00,70.00
2026-04-22 20:00,69.95
2026-04-23 00:00,69.95
2026-05-07 15:00,70.18
2026-05-07 19:00,70.18
2026-05-15 15:00,72.78
2026-05-15 19:00,72.80
2026-07-01 08:00,65.32
2026-07-17 12:00,69.66
2026-07-28 10:00,68.04
2026-08-02 18:00,67.59
2026-08-10 03:00,67.62
2026-08-12 10:00,69.34
2026-08-25 05:00,69.69
2026-09-04 15:00,69.63
2026-09-04 16:00,69.68
