observation_datetime,value
2025-04-04 06:00,61.00
2025-04-04 10:00,61.00
2025-05-19 12:00,61.78
2025-05-19 16:00,61.78
2025-08-25 08:00,62.60
2025-08-25 12:00,62.60
2025-08-27 12:00,62.44
2025-08-27 16:00,62.44
2025-12-16 07:00,59.00
2025-12-16 12:00,59.00
2026-03-18 14:00,69.53
2026-03-18 16:00,69.81
2026-03-18 18:00,69.53
2026-03-18 20:00,69.81
2026-04-02 16:00,66.66
2026-04-02 20:00,66.66
2026-04-08 11:00,67.80
2026-04-08 15:00,67.80
2026-05-04 15:00,72.32
2026-05-04 19:00,72.32
2026-05-07 15:00,69.97
2026-05-07 19:00,69.97
2026-05-15 15:00,72.54
2026-05-15 19:00,72.54
2026-05-28 15:00,71.01
