observation_datetime,value
2024-06-04 18:00,65.00
2024-08-06 12:00,64.86
2024-09-10 14:00,64.00
2024-10-03 09:00,67.00
2025-02-25 15:00,64.00
2025-03-03 19:00,63.25
2025-04-07 06:00,58.50
2025-04-07 14:00,60.00
2025-04-09 18:00,60.61
2025-04-30 13:00,59.50
2025-04-30 15:00,59.10
2025-04-30 17:00,58.78
2025-07-04 15:00,62.15
2025-07-07 07:00,61.91
2025-08-28 14:00,61.41
2025-09-10 15:00,62.40
2025-09-15 13:00,62.13
2025-10-21 13:00,59.08
2025-10-21 19:00,59.05
2025-10-22 03:00,59.60
2025-11-12 14:00,59.55
2025-11-14 10:00,59.75
2025-12-10 14:00,58.00
2025-12-11 13:00,57.85
2025-12-12 20:00,57.80
2025-12-22 17:00,57.87
2025-12-30 20:00,57.85
2026-01-07 00:00,56.50
2026-01-07 13:00,57.15
2026-01-08 11:00,56.89
2026-01-09 18:00,58.24
2026-01-15 16:00,58.60
2026-01-20 17:00,59.06
2026-01-22 14:00,59.10
2026-01-23 18:00,59.97
2026-01-23 19:00,59.75
2026-01-26 10:00,60.10
2026-01-26 19:00,59.76
2026-01-26 21:00,59.94
2026-01-27 19:00,60.42
2026-01-27 21:00,60.35
2026-01-28 19:00,60.53
2026-01-29 17:00,61.42
2026-01-29 19:00,61.43
2026-01-30 09:00,61.13
2026-01-30 19:00,61.47
2026-01-30 20:00,61.56
2026-02-02 01:00,60.03
2026-02-02 18:00,58.85
2026-02-02 20:00,59.23
2026-02-03 15:00,59.54
2026-02-03 23:00,60.20
2026-02-04 00:00,60.54
2026-02-04 15:00,60.49
2026-02-04 17:00,61.37
2026-02-04 18:00,61.25
2026-02-04 19:00,60.59
2026-02-05 13:00,60.45
2026-02-05 14:00,60.21
2026-02-05 20:00,60.37
2026-02-06 09:00,61.15
2026-02-06 14:00,60.18
2026-02-06 15:00,60.80
2026-02-09 14:00,60.37
2026-02-10 19:00,61.27
2026-02-11 11:00,61.67
2026-02-11 13:00,61.90
2026-02-11 15:00,61.48
2026-02-12 10:00,61.08
2026-02-12 19:00,60.43
2026-02-12 20:00,60.37
2026-02-13 11:00,60.06
2026-02-13 12:00,60.02
2026-02-13 14:00,60.31
2026-02-13 20:00,60.08
2026-02-17 13:00,59.94
2026-02-17 15:00,59.79
2026-02-18 19:00,61.10
2026-02-19 15:00,61.39
2026-02-20 15:00,61.65
2026-02-20 19:00,61.66
2026-02-23 14:00,62.23
2026-02-23 19:00,61.83
2026-02-25 12:00,62.06
2026-02-26 12:00,60.78
2026-02-26 15:00,61.39
2026-02-26 17:00,61.77
2026-02-26 18:00,61.87
2026-02-27 14:00,62.25
2026-02-27 16:00,61.74
2026-02-27 17:00,62.10
2026-03-01 23:00,63.79
2026-03-02 00:00,63.50
2026-03-03 19:00,62.51
2026-03-05 19:00,64.58
2026-03-06 10:00,65.73
2026-03-06 17:00,65.25
2026-03-06 19:00,65.71
2026-03-08 22:00,69.20
2026-03-09 05:00,67.49
2026-03-09 13:00,66.99
2026-03-11 18:00,67.64
2026-03-13 07:00,70.00
2026-03-13 15:00,70.00
2026-03-13 17:00,69.88
2026-03-13 18:00,70.21
2026-03-15 22:00,70.43
2026-03-15 23:00,70.42
2026-03-16 00:00,69.95
2026-03-16 01:00,69.90
2026-03-16 05:00,69.80
2026-03-16 06:00,69.80
2026-03-16 07:00,70.30
2026-03-16 08:00,70.10
2026-03-16 10:00,70.00
2026-03-16 14:00,70.00
2026-03-16 18:00,70.10
2026-03-17 18:00,70.94
2026-03-18 12:00,72.16
2026-03-18 13:00,72.82
2026-03-18 15:00,72.73
2026-03-18 18:00,72.79
2026-03-18 19:00,73.18
2026-03-19 10:00,73.00
2026-03-20 18:00,74.30
2026-03-20 20:00,74.32
2026-03-23 18:00,70.16
2026-03-24 18:00,73.19
2026-03-25 18:00,72.24
2026-03-26 18:00,73.44
2026-03-27 14:00,73.32
2026-03-30 07:00,73.50
2026-03-30 14:00,72.88
2026-03-30 18:00,72.62
2026-03-31 09:00,72.66
2026-03-31 18:00,69.71
2026-04-01 13:00,68.45
2026-04-01 15:00,68.49
2026-04-01 17:00,68.34
2026-04-01 18:00,68.48
2026-04-01 19:00,68.44
2026-04-02 13:00,69.70
2026-04-02 14:00,68.14
2026-04-02 15:00,67.92
2026-04-02 16:00,67.93
2026-04-02 17:00,68.07
2026-04-02 19:00,68.88
2026-04-02 20:00,68.91
2026-04-06 18:00,70.42
2026-04-07 14:00,71.18
2026-04-07 15:00,71.53
2026-04-07 16:00,71.14
2026-04-07 18:00,71.38
2026-04-07 19:00,70.54
2026-04-08 13:00,69.14
2026-04-08 14:00,69.21
2026-04-08 18:00,70.94
2026-04-08 20:00,70.77
2026-04-09 06:00,71.00
2026-04-09 14:00,71.02
2026-04-09 15:00,70.24
2026-04-09 16:00,70.13
2026-04-09 17:00,70.45
2026-04-09 18:00,70.81
2026-04-10 16:00,71.82
2026-04-10 17:00,71.93
2026-04-10 18:00,71.73
2026-04-13 15:00,72.92
2026-04-13 16:00,72.72
2026-04-14 14:00,71.92
2026-04-14 18:00,71.83
2026-04-15 07:00,71.99
2026-04-15 08:00,72.47
2026-04-15 17:00,73.02
2026-04-15 18:00,73.27
2026-04-16 15:00,73.27
2026-04-17 14:00,69.50
2026-04-17 16:00,69.73
2026-04-17 18:00,70.08
2026-04-20 18:00,71.44
2026-04-21 13:00,71.64
2026-04-21 15:00,71.81
