observation_datetime,value
2025-02-18 14:00,64.96
2025-02-18 19:00,64.96
2025-04-07 13:00,60.25
2025-04-07 17:00,60.25
2025-04-08 09:00,59.76
2025-04-08 13:00,59.76
2025-08-06 13:00,61.90
2025-08-06 17:00,61.90
2025-10-20 11:00,59.01
2025-10-20 15:00,59.01
2025-10-21 09:00,59.15
2025-10-21 13:00,59.15
2025-10-21 15:00,59.05
2025-10-21 19:00,59.05
2025-11-19 08:00,59.00
2025-11-19 13:00,59.00
2025-12-09 10:00,58.50
2025-12-09 15:00,58.50
2025-12-15 12:00,57.59
2025-12-15 17:00,57.59
2025-12-16 07:00,57.49
2025-12-16 09:00,57.22
2025-12-16 12:00,57.49
2025-12-16 14:00,57.22
2025-12-16 15:00,56.78
2025-12-16 20:00,56.78
2025-12-18 03:00,57.30
2025-12-18 08:00,57.30
2026-01-05 03:00,57.00
2026-01-05 08:00,57.00
2026-01-06 14:00,57.00
2026-01-06 19:00,57.00
2026-01-08 15:00,57.93
2026-01-08 20:00,57.93
2026-01-13 11:00,59.33
2026-01-13 16:00,59.33
2026-01-14 11:00,59.96
2026-01-14 15:00,60.04
2026-01-14 16:00,59.96
2026-01-14 20:00,60.04
2026-01-22 12:00,58.92
2026-01-22 17:00,58.92
2026-01-29 14:00,61.37
2026-01-29 19:00,61.37
2026-01-30 15:00,61.52
2026-01-30 20:00,61.52
2026-02-03 12:00,60.32
2026-02-03 17:00,60.32
2026-02-05 15:00,60.38
2026-02-05 20:00,60.38
2026-02-11 09:00,61.95
2026-02-11 14:00,61.95
2026-02-11 15:00,61.52
2026-02-11 20:00,61.52
2026-02-13 11:00,60.03
2026-02-13 15:00,60.27
2026-02-13 16:00,60.03
2026-02-13 20:00,60.27
2026-02-17 10:00,59.79
2026-02-17 15:00,59.79
2026-02-18 04:00,60.13
2026-02-18 09:00,60.13
2026-02-19 10:00,61.30
2026-02-19 14:00,61.58
2026-02-19 15:00,61.30
2026-02-19 19:00,61.58
2026-02-20 10:00,61.57
2026-02-20 14:00,61.52
2026-02-20 15:00,61.57
2026-02-20 19:00,61.52
2026-02-23 13:00,61.64
2026-02-23 14:00,61.73
2026-02-23 18:00,61.64
2026-02-23 19:00,61.73
2026-02-24 10:00,61.60
2026-02-24 11:00,61.88
2026-02-24 15:00,62.05
2026-02-24 16:00,61.88
2026-02-24 20:00,62.05
2026-02-25 09:00,61.86
2026-02-25 14:00,61.86
2026-02-26 07:00,60.77
2026-02-26 12:00,60.77
2026-02-26 13:00,61.60
2026-02-26 14:00,61.07
2026-02-26 18:00,61.60
2026-02-26 19:00,61.07
2026-02-27 12:00,61.95
2026-02-27 17:00,61.95
2026-03-03 14:00,62.43
2026-03-03 19:00,62.43
2026-03-06 08:00,66.00
2026-03-06 13:00,66.00
2026-03-06 16:00,65.49
2026-03-06 21:00,65.49
2026-03-08 22:00,69.00
