observation_datetime,value
2025-02-21 09:00,64.83
2025-02-21 10:00,64.49
2025-02-21 14:00,64.83
2025-02-21 15:00,64.49
2025-10-20 11:00,59.26
2025-10-20 15:00,59.26
2025-10-21 09:00,59.36
2025-10-21 13:00,59.36
2025-10-21 15:00,59.32
2025-10-21 19:00,59.32
2025-10-27 15:00,60.53
2025-10-27 19:00,60.53
2025-12-05 10:00,59.27
2025-12-05 15:00,59.27
2025-12-16 11:00,57.48
2025-12-16 16:00,57.48
2025-12-18 16:00,57.07
2025-12-18 21:00,57.07
2025-12-23 22:00,58.44
2025-12-24 03:00,58.44
2026-01-06 21:00,57.30
2026-01-07 02:00,57.30
2026-01-08 14:00,58.12
2026-01-08 19:00,58.12
2026-01-09 00:00,58.43
2026-01-09 05:00,58.43
2026-01-14 15:00,60.13
2026-01-14 20:00,60.13
2026-01-21 11:00,59.80
2026-01-21 16:00,59.80
2026-01-27 10:00,60.36
2026-01-27 15:00,60.36
2026-01-27 22:00,60.96
2026-01-28 03:00,60.96
2026-01-28 07:00,60.54
2026-01-28 12:00,60.54
2026-01-29 05:00,61.29
2026-01-29 10:00,61.29
2026-02-01 22:00,59.84
2026-02-02 03:00,59.84
2026-02-03 13:00,60.11
2026-02-03 18:00,60.11
2026-02-04 12:00,61.09
2026-02-04 14:00,60.63
2026-02-04 17:00,61.09
2026-02-04 19:00,60.63
2026-02-11 13:00,61.18
2026-02-11 18:00,61.18
2026-02-13 15:00,60.13
2026-02-13 20:00,60.13
2026-02-17 15:00,60.01
2026-02-17 20:00,60.01
2026-02-19 16:00,61.53
2026-02-19 21:00,61.53
2026-02-23 10:00,61.93
2026-02-23 13:00,61.51
2026-02-23 14:00,61.59
2026-02-23 15:00,61.93
2026-02-23 18:00,61.51
2026-02-23 19:00,61.59
2026-02-26 07:00,60.64
2026-02-26 12:00,60.64
2026-02-26 13:00,61.45
2026-02-26 18:00,61.45
2026-02-27 12:00,61.44
2026-02-27 17:00,61.44
2026-03-02 03:00,62.86
2026-03-02 08:00,62.86
2026-03-06 16:00,65.22
2026-03-06 21:00,65.22
2026-03-09 08:00,65.84
2026-03-09 10:00,66.41
2026-03-09 12:00,65.45
2026-03-09 14:00,66.41
2026-03-09 15:00,65.61
2026-03-09 16:00,65.45
2026-03-09 19:00,65.61
2026-03-11 10:00,65.81
2026-03-11 14:00,65.81
2026-03-17 07:00,70.64
2026-03-17 09:00,69.95
2026-03-17 11:00,70.64
2026-03-17 13:00,69.95
2026-03-18 11:00,71.52
2026-03-18 14:00,71.54
2026-03-18 15:00,71.91
2026-03-18 18:00,71.54
2026-03-18 19:00,71.91
2026-03-20 16:00,72.36
2026-03-20 20:00,72.36
2026-03-24 13:00,71.92
2026-03-24 17:00,71.92
2026-03-26 16:00,72.24
2026-03-26 20:00,72.24
2026-03-27 09:00,72.58
2026-03-27 13:00,72.58
