observation_datetime,value
2025-02-21 11:00,64.45
2025-02-21 16:00,64.45
2025-07-06 21:00,61.83
2025-07-07 01:00,61.83
2025-08-26 10:00,62.42
2025-08-26 14:00,62.42
2026-01-23 14:00,60.06
2026-01-23 19:00,60.06
2026-01-29 05:00,61.23
2026-01-29 10:00,61.23
2026-01-30 15:00,61.56
2026-01-30 20:00,61.56
2026-02-02 05:00,59.68
2026-02-02 10:00,59.68
2026-02-03 12:00,60.20
2026-02-03 17:00,60.20
2026-02-04 13:00,61.24
2026-02-04 18:00,61.24
2026-02-05 14:00,60.41
2026-02-05 15:00,60.50
2026-02-05 19:00,60.41
2026-02-05 20:00,60.50
2026-02-06 11:00,61.01
2026-02-06 12:00,60.85
2026-02-06 16:00,61.01
2026-02-06 17:00,60.85
2026-02-11 13:00,61.36
2026-02-11 18:00,61.36
2026-02-13 06:00,60.27
2026-02-13 11:00,60.27
2026-02-17 14:00,60.12
2026-02-17 19:00,60.12
2026-02-19 10:00,61.05
2026-02-19 15:00,61.05
2026-02-23 11:00,61.83
2026-02-23 14:00,61.58
2026-02-23 16:00,61.83
2026-02-23 19:00,61.58
2026-02-25 09:00,61.59
2026-02-25 10:00,61.48
2026-02-25 14:00,61.59
2026-02-25 15:00,61.48
2026-02-26 07:00,60.71
2026-02-26 10:00,61.30
2026-02-26 12:00,60.71
2026-02-26 13:00,61.42
2026-02-26 15:00,61.30
2026-02-26 18:00,61.42
2026-02-27 10:00,61.56
2026-02-27 12:00,61.37
2026-02-27 15:00,61.64
2026-02-27 17:00,61.37
2026-02-27 20:00,61.64
2026-03-04 14:00,62.89
2026-03-04 19:00,62.89
2026-03-06 09:00,65.40
2026-03-06 14:00,65.40
2026-03-08 18:00,67.19
2026-03-08 22:00,67.19
2026-03-08 23:00,69.02
2026-03-09 03:00,69.02
2026-03-17 09:00,69.27
2026-03-17 10:00,69.82
2026-03-17 13:00,69.27
2026-03-17 14:00,69.82
2026-03-17 16:00,69.32
2026-03-17 20:00,69.32
2026-03-18 11:00,71.25
